,symbol,name,logo
1,AAPL,Apple Inc.,https://logo.clearbit.com/apple.com
2,MSFT,Microsoft Corporation,https://logo.clearbit.com/microsoft.com
3,GOOG,Alphabet Inc.,https://logo.clearbit.com/abc.xyz
4,AMZN,"Amazon.com, Inc.",https://logo.clearbit.com/amazon.com
5,TSLA,"Tesla, Inc.",https://logo.clearbit.com/tesla.com
6,NVDA,NVIDIA Corporation,https://logo.clearbit.com/nvidia.com
7,FB,"Meta Platforms, Inc.",https://logo.clearbit.com/investor.fb.com
8,UNH,UnitedHealth Group Incorporated,https://logo.clearbit.com/unitedhealthgroup.com
9,JNJ,Johnson & Johnson,https://logo.clearbit.com/jnj.com
10,V,Visa Inc.,https://logo.clearbit.com/usa.visa.com
11,JPM,JP Morgan Chase & Co.,https://logo.clearbit.com/jpmorganchase.com
12,WMT,Walmart Inc.,https://logo.clearbit.com/stock.walmart.com
13,PG,Procter & Gamble Company (The),https://logo.clearbit.com/pginvestor.com
14,XOM,Exxon Mobil Corporation,https://logo.clearbit.com/corporate.exxonmobil.com
15,BAC,Bank of America Corporation,https://logo.clearbit.com/bankofamerica.com
16,MA,Mastercard Incorporated,https://logo.clearbit.com/mastercard.com
17,CVX,Chevron Corporation,https://logo.clearbit.com/chevron.com
18,HD,"Home Depot, Inc. (The)",https://logo.clearbit.com/homedepot.com
19,PFE,"Pfizer, Inc.",https://logo.clearbit.com/pfizer.com
20,BABA,Alibaba Group Holding Limited,https://logo.clearbit.com/alibabagroup.com
21,ABBV,AbbVie Inc.,https://logo.clearbit.com/abbvie.com
22,LLY,Eli Lilly and Company,https://logo.clearbit.com/lilly.com
23,KO,Coca-Cola Company (The),https://logo.clearbit.com/coca-colacompany.com
24,AVGO,Broadcom Inc.,https://logo.clearbit.com/broadcom.com
25,DIS,Walt Disney Company (The),https://logo.clearbit.com/thewaltdisneycompany.com
26,COST,Costco Wholesale Corporation,https://logo.clearbit.com/costco.com
27,PEP,"Pepsico, Inc.",https://logo.clearbit.com/pepsico.com
28,CSCO,"Cisco Systems, Inc.",https://logo.clearbit.com/cisco.com
29,TMO,Thermo Fisher Scientific Inc,https://logo.clearbit.com/thermofisher.com
30,ORCL,Oracle Corporation,https://logo.clearbit.com/oracle.com
31,ACN,Accenture plc,https://logo.clearbit.com/accenture.com
32,VZ,Verizon Communications Inc.,https://logo.clearbit.com/verizon.com
33,CMCSA,Comcast Corporation,https://logo.clearbit.com/corporate.comcast.com
34,NKE,"Nike, Inc.",https://logo.clearbit.com/nike.com
35,INTC,Intel Corporation,https://logo.clearbit.com/intel.com
36,ABT,Abbott Laboratories,https://logo.clearbit.com/abbott.com
37,CRM,Salesforce.com Inc,https://logo.clearbit.com/salesforce.com
38,DHR,Danaher Corporation,https://logo.clearbit.com/danaher.com
39,MRK,"Merck & Company, Inc.",https://logo.clearbit.com/merck.com
40,ADBE,Adobe Inc.,https://logo.clearbit.com/adobe.com
41,WFC,Wells Fargo & Company,https://logo.clearbit.com/wellsfargo.com
42,AMD,"Advanced Micro Devices, Inc.",https://logo.clearbit.com/amd.com
43,UPS,"United Parcel Service, Inc.",https://logo.clearbit.com/ups.com
44,MCD,McDonald's Corporation,https://logo.clearbit.com/corporate.mcdonalds.com
45,QCOM,QUALCOMM Incorporated,https://logo.clearbit.com/qualcomm.com
46,UNP,Union Pacific Corporation,https://logo.clearbit.com/up.com
47,SCHW,Charles Schwab Corporation (The,https://logo.clearbit.com/schwab.com
48,TXN,Texas Instruments Incorporated,https://logo.clearbit.com/ti.com
49,T,AT&T Inc.,https://logo.clearbit.com/att.com
50,NFLX,"Netflix, Inc.",https://logo.clearbit.com/netflix.com
51,NEE,"NextEra Energy, Inc.",https://logo.clearbit.com/nexteraenergy.com
52,MS,Morgan Stanley,https://logo.clearbit.com/morganstanley.com
53,BMY,Bristol-Myers Squibb Company,https://logo.clearbit.com/bms.com
54,LIN,Linde plc,https://logo.clearbit.com/linde.com
55,TMUS,"T-Mobile US, Inc.",https://logo.clearbit.com/t-mobile.com
56,RTX,Raytheon Technologies Corporati,https://logo.clearbit.com/rtx.com
57,BX,Blackstone Inc.,https://logo.clearbit.com/blackstone.com
58,MDT,Medtronic plc.,https://logo.clearbit.com/medtronic.com
59,PM,Philip Morris International Inc,https://logo.clearbit.com/pmi.com
60,AXP,American Express Company,https://logo.clearbit.com/americanexpress.com
61,CVS,CVS Health Corporation,https://logo.clearbit.com/cvshealth.com
62,LOW,"Lowe's Companies, Inc.",https://logo.clearbit.com/lowes.com
63,COP,ConocoPhillips,https://logo.clearbit.com/conocophillips.com
64,HON,Honeywell International Inc.,https://logo.clearbit.com/honeywell.com
65,DE,Deere & Company,https://logo.clearbit.com/deere.com
66,AMGN,Amgen Inc.,https://logo.clearbit.com/amgen.com
67,PYPL,"PayPal Holdings, Inc.",https://logo.clearbit.com/paypal.com
68,INTU,Intuit Inc.,https://logo.clearbit.com/intuit.com
69,AMAT,"Applied Materials, Inc.",https://logo.clearbit.com/appliedmaterials.com
70,LMT,Lockheed Martin Corporation,https://logo.clearbit.com/lockheedmartin.com
71,PLD,"Prologis, Inc.",https://logo.clearbit.com/prologis.com
72,CAT,"Caterpillar, Inc.",https://logo.clearbit.com/caterpillar.com
73,IBM,International Business Machines,https://logo.clearbit.com/ibm.com
74,ANTM,"Anthem, Inc.",https://logo.clearbit.com/antheminc.com
75,GS,"Goldman Sachs Group, Inc. (The)",https://logo.clearbit.com/goldmansachs.com
76,BLK,"BlackRock, Inc.",https://logo.clearbit.com/blackrock.com
77,C,"Citigroup, Inc.",https://logo.clearbit.com/citigroup.com
78,NOW,"ServiceNow, Inc.",https://logo.clearbit.com/servicenow.com
79,BA,Boeing Company (The),https://logo.clearbit.com/boeing.com
80,AMT,American Tower Corporation (REI,https://logo.clearbit.com/americantower.com
81,ABNB,"Airbnb, Inc.",https://logo.clearbit.com/airbnb.com
82,GE,General Electric Company,https://logo.clearbit.com/ge.com
83,ISRG,"Intuitive Surgical, Inc.",https://logo.clearbit.com/intuitive.com
84,TGT,Target Corporation,https://logo.clearbit.com/corporate.target.com
85,SBUX,Starbucks Corporation,https://logo.clearbit.com/starbucks.com
86,SYK,Stryker Corporation,https://logo.clearbit.com/stryker.com
87,SPGI,S&P Global Inc.,https://logo.clearbit.com/spglobal.com
88,MO,"Altria Group, Inc.",https://logo.clearbit.com/altria.com
89,CHTR,"Charter Communications, Inc.",https://logo.clearbit.com/corporate.charter.com
90,CB,Chubb Limited,https://logo.clearbit.com/chubb.com
91,ADP,"Automatic Data Processing, Inc.",https://logo.clearbit.com/adp.com
92,BKNG,Booking Holdings Inc. Common St,https://logo.clearbit.com/bookingholdings.com
93,ZTS,Zoetis Inc.,https://logo.clearbit.com/zoetis.com
94,BAM,Brookfield Asset Management Inc,https://logo.clearbit.com/brookfield.com
95,CME,CME Group Inc.,https://logo.clearbit.com/cmegroup.com
96,MU,"Micron Technology, Inc.",https://logo.clearbit.com/micron.com
97,ADI,"Analog Devices, Inc.",https://logo.clearbit.com/analog.com
98,MMM,3M Company,https://logo.clearbit.com/3m.com
